1997	90727	CAFFREY, MIKE	L	state:upper	NJ-13
2001	12297	CAFIERO, JAMES S	W	state:upper	NJ-1
2009	3886	CALABRO & HARVEY BRACKET			
1997	90725	CALANDRILLO, REGINA	L	state:lower	NJ-10
2007	3130	CALIGUIRE SCHWEIGHARDT & GINTY BRACKET			
2005	90054	CALIGUIRE, TODD	L	state:governor	
2001	90717	CALLAHAN, MARYANN T	L	state:upper	NJ-5
2011	352210	CAMAROTA, JOE	L	state:lower	NJ-16
2001	90716	CAMPBELL, MILTON	L	state:upper	NJ-22
2009	8998	CAPUTO, RALPH R	W	state:lower	NJ-28
2005	2090	CARABALLO, WILFREDO	W	state:lower	NJ-29
2007	3131	CARDINALE ROONEY & VANDERVALK BRACKET			
2011	10785	CARDINALE SCHROEDER & SCHEPISI BRACKET			
2005	614	CARDINALE, GERALD		state:upper	NJ-39
2011	614	CARDINALE, S GERALD	W	state:upper	NJ-39
2011	352228	CARIDE, MARLENE	W	state:lower	NJ-36
1999	12423	CARLAMERE, DAVID	L	state:lower	NJ-4
2001	12423	CARLAMERE, DAVID F	L	state:lower	NJ-4
2001	90146	CARR, MIKE	L	state:upper	NJ-7
2003	90668	CARRANZA, ARISTO	L	state:lower	NJ-20
2011	352213	CARROLL, KAREN	L	state:lower	NJ-23
2005	2123	CARROLL, MICHAEL P	W	state:lower	NJ-25
2001	2123	CARROLL, MICHAEL PATRICK	W	state:lower	NJ-25
2001	90739	CART, MARGARITA	L	state:lower	NJ-24
2009	3887	CARUSO & ROTTINO BRACKET			
2009	90738	CARUSO, JOSEPH A	L	state:lower	NJ-40
2011	8993	CASAGRANDE, CAROLINE	W	state:lower	NJ-11
2003	90737	CASERTA, PATRICK J	L	state:lower	NJ-26
2007	90779	CASHA, LAWRENCE	L	state:lower	NJ-26
2001	90729	CASSELLA, JAMES L	L	state:lower	NJ-36
2001	90463	CASTEN, KIMBERLEY	L	state:lower	NJ-10
2005	90728	CASTILLO, HECTOR L	L	state:governor	
1997	90334	CATANIA, FRANK	L	state:lower	NJ-35
1999	90733	CAUFIELD, DENNIS M	L	state:lower	NJ-21
2001	90732	CAVANAUGH, LINDA LORDI	L	state:lower	NJ-27
2011	412893	CELESTE, TONY	L	state:lower	NJ-4
2001	90700	CHAMBERLAIN, HORACE	L	state:upper	NJ-25
2001	12586	CHARLES JR, JOSEPH	W	state:upper	NJ-31
1997	12586	CHARLES, JOSEPH	W	state:lower	NJ-31
2001	3124	CHATZIDAKIS, LARRY	W	state:lower	NJ-8
2011	352317	CHEGWIDDEN, WILLIAM J	L	state:upper	NJ-25
2005	2240	CHIAPPONE & AYALA BRACKET			
2003	6398	CHIAPPONE, ANTHONY	W	state:lower	NJ-31
2007	90701	CHIARAVALLOTI, NICHOLAS A	L	state:lower	NJ-31
2007	3132	CHILDRESS & BIANCO BRACKET			
2009	8996	CHIUSANO, GARY R	W	state:lower	NJ-24
2003	7633	CHIVUKULA, UPENDRA	W	state:lower	NJ-17
2009	7633	CHIVUKULA, UPENDRA J	W	state:lower	NJ-17
1999	90541	CHOQUETTE, EDWARD J	L	state:lower	NJ-30
2003	90696	CHRISTIANSEN, BRYAN	W	state:lower	NJ-38
2011	90695	CHRISTIE, CHRIS & GUADAGNO, KIM		state:governor	
2011	412882	CIATTARELLI, JACK M	W	state:lower	NJ-16
2003	615	CIESLA, ANDREW R	W	state:upper	NJ-10
2007	12665	CIFARELLI, FRANK J	L	state:lower	NJ-37
2003	90815	CIMINO, ANTHONY J (SKIP)	L	state:upper	NJ-14
2007	90294	CIMINO, MARK	L	state:upper	NJ-3
2007	90710	CINQUE, MARC	W	state:upper	NJ-27
2001	90657	CITO, JOHN G	L	state:upper	NJ-18
2007	90715	CLARK JR, R NORRIS	L	state:lower	NJ-1
2003	1338	CLEAN & GREEN COALITION			
2011	352256	CLIFTON, ROBERT D	W	state:lower	NJ-12
2009	3957	CMTE TO DEFEAT QUESTION 1			
2011	10787	CODEY MCKEON & JASEY BRACKET			
2007	619	CODEY, RICHARD J	W	state:upper	NJ-27
1999	90706	COHAN, MICHAEL P	L	state:lower	NJ-21
2007	633	COHEN, NEIL	W	state:lower	NJ-20
2001	633	COHEN, NEIL M	W	state:lower	NJ-20
2011	12799	COLEMAN, BONNIE WATSON	W	state:lower	NJ-15
2007	90772	COLLETTI, ROBERT	L	state:upper	NJ-38
1997	12818	COLLINS, JACK	W	state:lower	NJ-3
2009	90547	COLLINS, WILLIAM	L	state:lower	NJ-4
2007	90771	COLON, SEAN	L	state:lower	NJ-22
1997	90770	COMEY, J MARTIN	L	state:lower	NJ-34
1997	3969	CONAWAY JR, HERBERT C	W	state:lower	NJ-7
2001	3969	CONAWAY MD, HERB	W	state:lower	NJ-7
2009	3969	CONAWAY, HERB	W	state:lower	NJ-7
2005	7624	CONIGLIO, JOSEPH		state:upper	NJ-38
2007	3133	CONNERS & CONAWAY BRACKET			
2007	3982	CONNERS, JACK	W	state:lower	NJ-7
2005	2242	CONNORS & RUMPF BRACKET			
2007	3134	CONNORS CONNORS & RUMPF BRACKET			
2011	10789	CONNORS GOVE & RUMPF BRACKET			
2003	12856	CONNORS JR, LEONARD T	W	state:upper	NJ-9
2007	3135	CONNORS RUMPF & VAN PELT BRACKET			
2001	623	CONNORS, CHRISTOPHER J	W	state:lower	NJ-9
2005	12856	CONNORS, LEONARD T		state:upper	NJ-9
2007	90764	CONNORS, SEAN	L	state:upper	NJ-32
2003	12861	CONOVER, KIRK	W	state:lower	NJ-2
2005	12861	CONOVER, KIRK W	L	state:lower	NJ-2
2009	90563	CONRAD, FRANK E	W	state:lower	NJ-1
2009	90768	CONROY, REBEKAH	L	state:lower	NJ-25
2011	10790	COOK CONAWAY & SINGLETON BRACKET			
2001	12871	COOK, FREDERICK P	L	state:upper	NJ-23
